date,orgs,category,type,species,age,count
Feb-17,2363,gross intakes,owner-intended euthanasia,dogs,unknown,504
Feb-17,2363,gross intakes,stray/at large,cats,adult,20870
Feb-17,2363,gross intakes,stray/at large,cats,up to 5mo,5665
Feb-17,2363,gross intakes,stray/at large,cats,unknown,5915
Feb-17,2363,gross intakes,relinquished by owner,cats,adult,15490
Feb-17,2363,gross intakes,relinquished by owner,cats,up to 5mo,3386
Feb-17,2363,gross intakes,relinquished by owner,cats,unknown,2238
Feb-17,2363,gross intakes,transfer in from agency,cats,adult,7703
Feb-17,2363,gross intakes,transfer in from agency,cats,up to 5mo,2600
Feb-17,2363,gross intakes,transfer in from agency,cats,unknown,1220
Feb-17,2363,gross intakes,other intakes,cats,adult,3401
Feb-17,2363,gross intakes,other intakes,cats,up to 5mo,889
Feb-17,2363,gross intakes,other intakes,cats,unknown,946
Feb-17,2363,gross intakes,owner-intended euthanasia,cats,adult,1495
Feb-17,2363,gross intakes,owner-intended euthanasia,cats,up to 5mo,43
Feb-17,2363,gross intakes,owner-intended euthanasia,cats,unknown,233
Feb-17,2363,gross live outcomes,adoption,dogs,adult,44216
Feb-17,2363,gross live outcomes,adoption,dogs,up to 5mo,16545
Feb-17,2363,gross live outcomes,adoption,dogs,unknown,5784
Feb-17,2363,gross live outcomes,return to owner,dogs,adult,16353
Feb-17,2363,gross live outcomes,return to owner,dogs,up to 5mo,570
Feb-17,2363,gross live outcomes,return to owner,dogs,unknown,2861
Feb-17,2363,gross live outcomes,transfer to another agency,dogs,adult,12725
Feb-17,2363,gross live outcomes,transfer to another agency,dogs,up to 5mo,6250
Feb-17,2363,gross live outcomes,transfer to another agency,dogs,unknown,3293
Feb-17,2363,gross live outcomes,return to field,dogs,adult,58
Feb-17,2363,gross live outcomes,return to field,dogs,up to 5mo,19
Feb-17,2363,gross live outcomes,return to field,dogs,unknown,0
Feb-17,2363,gross live outcomes,other live outcome,dogs,adult,496
Feb-17,2363,gross live outcomes,other live outcome,dogs,up to 5mo,158
Feb-17,2363,gross live outcomes,other live outcome,dogs,unknown,129
Feb-17,2363,gross live outcomes,adoption,cats,adult,31266
Feb-17,2363,gross live outcomes,adoption,cats,up to 5mo,11544
Feb-17,2363,gross live outcomes,adoption,cats,unknown,4630
Feb-17,2363,gross live outcomes,return to owner,cats,adult,1843
Feb-17,2363,gross live outcomes,return to owner,cats,up to 5mo,138
Feb-17,2363,gross live outcomes,return to owner,cats,unknown,352
Feb-17,2363,gross live outcomes,transfer to another agency,cats,adult,5641
Feb-17,2363,gross live outcomes,transfer to another agency,cats,up to 5mo,1857
Feb-17,2363,gross live outcomes,transfer to another agency,cats,unknown,1168
Feb-17,2363,gross live outcomes,return to field,cats,adult,4461
Feb-17,2363,gross live outcomes,return to field,cats,up to 5mo,363
Feb-17,2363,gross live outcomes,return to field,cats,unknown,1375
Feb-17,2363,gross live outcomes,other live outcome,cats,adult,958
Feb-17,2363,gross live outcomes,other live outcome,cats,up to 5mo,225
Feb-17,2363,gross live outcomes,other live outcome,cats,unknown,166
Feb-17,2363,other outcomes,died in care,dogs,adult,358
Feb-17,2363,other outcomes,died in care,dogs,up to 5mo,384
Feb-17,2363,other outcomes,died in care,dogs,unknown,167
Feb-17,2363,other outcomes,lost in care,dogs,adult,93
Feb-17,2363,other outcomes,lost in care,dogs,up to 5mo,14
Feb-17,2363,other outcomes,lost in care,dogs,unknown,38
Feb-17,2363,other outcomes,shelter euthanasia,dogs,adult,6779
Feb-17,2363,other outcomes,shelter euthanasia,dogs,up to 5mo,745
Feb-17,2363,other outcomes,shelter euthanasia,dogs,unknown,1900
Feb-17,2363,other outcomes,owner-intended euthanasia,dogs,adult,2967
Feb-17,2363,other outcomes,owner-intended euthanasia,dogs,up to 5mo,44
Feb-17,2363,other outcomes,owner-intended euthanasia,dogs,unknown,492
Feb-17,2363,other outcomes,died in care,cats,adult,427
Feb-17,2363,other outcomes,died in care,cats,up to 5mo,370
Feb-17,2363,other outcomes,died in care,cats,unknown,165
Feb-17,2363,other outcomes,lost in care,cats,adult,149
Feb-17,2363,other outcomes,lost in care,cats,up to 5mo,40
Feb-17,2363,other outcomes,lost in care,cats,unknown,65
Feb-17,2363,other outcomes,shelter euthanasia,cats,adult,6280
Feb-17,2363,other outcomes,shelter euthanasia,cats,up to 5mo,698
Feb-17,2363,other outcomes,shelter euthanasia,cats,unknown,2633
Feb-17,2363,other outcomes,owner-intended euthanasia,cats,adult,1450
Feb-17,2363,other outcomes,owner-intended euthanasia,cats,up to 5mo,27
Feb-17,2363,other outcomes,owner-intended euthanasia,cats,unknown,260
